0 1 -0
0.01 1 -1.52606e-41
0.02 1 -3.0461e-41
0.03 1 -4.55412e-41
0.04 1 -6.04417e-41
0.05 1 -7.51036e-41
0.06 1 -8.94691e-41
0.07 1 -1.03482e-40
0.08 1 -1.17086e-40
0.09 1 -1.30228e-40
0.1 1 -1.42856e-40
0.11 1 -1.5492e-40
0.12 1 -1.66373e-40
0.13 1 -1.77169e-40
0.14 1 -1.87266e-40
0.15 1 -1.96624e-40
0.16 1 -2.05206e-40
0.17 1 -2.12978e-40
0.18 1 -2.19909e-40
0.19 1 -2.25973e-40
0.2 1 -2.31145e-40
0.21 1 -2.35405e-40
0.22 1 -2.38735e-40
0.23 1 -2.41124e-40
0.24 1 -2.42561e-40
0.25 1 -2.4304e-40
0.26 1 -2.42561e-40
0.27 1 -2.41124e-40
0.28 1 -2.38735e-40
0.29 1 -2.35405e-40
0.3 1 -2.31145e-40
0.31 1 -2.25973e-40
0.32 1 -2.19909e-40
0.33 1 -2.12978e-40
0.34 1 -2.05206e-40
0.35 1 -1.96624e-40
0.36 1 -1.87266e-40
0.37 1 -1.77169e-40
0.38 1 -1.66373e-40
0.39 1 -1.5492e-40
0.4 1 -1.42856e-40
0.41 1 -1.30228e-40
0.42 1 -1.17086e-40
0.43 1 -1.03482e-40
0.44 1 -8.94691e-41
0.45 1 -7.51036e-41
0.46 1 -6.04417e-41
0.47 1 -4.55412e-41
0.48 1 -3.0461e-41
0.49 1 -1.52606e-41
0.5 1 -2.97639e-56
0.51 1 1.52606e-41
0.52 1 3.0461e-41
0.53 1 4.55412e-41
0.54 1 6.04417e-41
0.55 1 7.51036e-41
0.56 1 8.94691e-41
0.57 1 1.03482e-40
0.58 1 1.17086e-40
0.59 1 1.30228e-40
0.6 1 1.42856e-40
0.61 1 1.5492e-40
0.62 1 1.66373e-40
0.63 1 1.77169e-40
0.64 1 1.87266e-40
0.65 1 1.96624e-40
0.66 1 2.05206e-40
0.67 1 2.12978e-40
0.68 1 2.19909e-40
0.69 1 2.25973e-40
0.7 1 2.31145e-40
0.71 1 2.35405e-40
0.72 1 2.38735e-40
0.73 1 2.41124e-40
0.74 1 2.42561e-40
0.75 1 2.4304e-40
0.76 1 2.42561e-40
0.77 1 2.41124e-40
0.78 1 2.38735e-40
0.79 1 2.35405e-40
0.8 1 2.31145e-40
0.81 1 2.25973e-40
0.82 1 2.19909e-40
0.83 1 2.12978e-40
0.84 1 2.05206e-40
0.85 1 1.96624e-40
0.86 1 1.87266e-40
0.87 1 1.77169e-40
0.88 1 1.66373e-40
0.89 1 1.5492e-40
0.9 1 1.42856e-40
0.91 1 1.30228e-40
0.92 1 1.17086e-40
0.93 1 1.03482e-40
0.94 1 8.94691e-41
0.95 1 7.51036e-41
0.96 1 6.04417e-41
0.97 1 4.55412e-41
0.98 1 3.0461e-41
0.99 1 1.52606e-41
1 1 5.95277e-56
0 0.99 -0
0.01 0.99 -3.91224e-27
0.02 0.99 -7.80904e-27
0.03 0.99 -1.1675e-26
0.04 0.99 -1.54949e-26
0.05 0.99 -1.92537e-26
0.06 0.99 -2.29365e-26
0.07 0.99 -2.65287e-26
0.08 0.99 -3.00163e-26
0.09 0.99 -3.33854e-26
0.1 0.99 -3.66227e-26
0.11 0.99 -3.97155e-26
0.12 0.99 -4.26516e-26
0.13 0.99 -4.54193e-26
0.14 0.99 -4.80078e-26
0.15 0.99 -5.04068e-26
0.16 0.99 -5.26069e-26
0.17 0.99 -5.45994e-26
0.18 0.99 -5.63764e-26
0.19 0.99 -5.79309e-26
0.2 0.99 -5.92568e-26
0.21 0.99 -6.03488e-26
0.22 0.99 -6.12026e-26
0.23 0.99 -6.18149e-26
0.24 0.99 -6.21833e-26
0.25 0.99 -6.23062e-26
0.26 0.99 -6.21833e-26
0.27 0.99 -6.18149e-26
0.28 0.99 -6.12026e-26
0.29 0.99 -6.03488e-26
0.3 0.99 -5.92568e-26
0.31 0.99 -5.79309e-26
0.32 0.99 -5.63764e-26
0.33 0.99 -5.45994e-26
0.34 0.99 -5.26069e-26
0.35 0.99 -5.04068e-26
0.36 0.99 -4.80078e-26
0.37 0.99 -4.54193e-26
0.38 0.99 -4.26516e-26
0.39 0.99 -3.97155e-26
0.4 0.99 -3.66227e-26
0.41 0.99 -3.33854e-26
0.42 0.99 -3.00163e-26
0.43 0.99 -2.65287e-26
0.44 0.99 -2.29365e-26
0.45 0.99 -1.92537e-26
0.46 0.99 -1.54949e-26
0.47 0.99 -1.1675e-26
0.48 0.99 -7.80904e-27
0.49 0.99 -3.91224e-27
0.5 0.99 -7.63031e-42
0.51 0.99 3.91224e-27
0.52 0.99 7.80904e-27
0.53 0.99 1.1675e-26
0.54 0.99 1.54949e-26
0.55 0.99 1.92537e-26
0.56 0.99 2.29365e-26
0.57 0.99 2.65287e-26
0.58 0.99 3.00163e-26
0.59 0.99 3.33854e-26
0.6 0.99 3.66227e-26
0.61 0.99 3.97155e-26
0.62 0.99 4.26516e-26
0.63 0.99 4.54193e-26
0.64 0.99 4.80078e-26
0.65 0.99 5.04068e-26
0.66 0.99 5.26069e-26
0.67 0.99 5.45994e-26
0.68 0.99 5.63764e-26
0.69 0.99 5.79309e-26
0.7 0.99 5.92568e-26
0.71 0.99 6.03488e-26
0.72 0.99 6.12026e-26
0.73 0.99 6.18149e-26
0.74 0.99 6.21833e-26
0.75 0.99 6.23062e-26
0.76 0.99 6.21833e-26
0.77 0.99 6.18149e-26
0.78 0.99 6.12026e-26
0.79 0.99 6.03488e-26
0.8 0.99 5.92568e-26
